Iraq,3.41,7100.0
Niger,6.89,800.0
Denmark,1.73,37800.0
Serbia,1.42,11100.0
Equatorial Guinea,4.66,25700.0
Guam,2.38,28700.0
Djibouti,2.47,2700.0
France,2.08,35700.0
Egypt,2.87,6600.0
Russia,1.61,18100.0
Turkmenistan,2.1,9700.0
Ukraine,1.3,7400.0
Malawi,5.66,900.0
Malaysia,2.58,17500.0
and Tristan da Cunha  Ascension Saint Helena,1.58,7800.0
Kenya,3.54,1800.0
Colombia,2.07,11100.0
Jamaica,2.05,9000.0
South Sudan,5.43,1400.0
Uganda,5.97,1500.0
Albania,1.5,8200.0
Chile,1.84,19100.0
Hong Kong,1.17,52700.0
Ecuador,2.29,10600.0
Cayman Islands,1.86,43800.0
Estonia,1.46,22400.0
Pakistan,2.86,3100.0
Bahrain,1.81,29800.0
Armenia,1.64,6300.0
Burundi,6.14,600.0
Georgia,1.77,6100.0
Saudi Arabia,2.17,31300.0
Portugal,1.52,22900.0
Tanzania,4.95,1700.0
Norway,1.86,55400.0
Uruguay,1.84,16600.0
Saint Vincent and the Grenadines,1.84,12100.0
Kuwait,2.53,42100.0
Sierra Leone,4.83,1400.0
United States,2.01,52800.0
